Date/Time,Lat,Lon,Base
9/22/2014 0:11:00,40.7198,-74.0001,B02512
9/22/2014 0:17:00,40.6876,-74.182,B02512
9/22/2014 0:39:00,40.7163,-74.0324,B02512
9/22/2014 0:39:00,40.7163,-74.0324,B02512
9/22/2014 0:51:00,40.7218,-73.9845,B02512
9/22/2014 0:53:00,40.7594,-73.9727,B02512
9/22/2014 1:07:00,40.7552,-73.9868,B02512
9/22/2014 2:04:00,40.7225,-73.9881,B02512
9/22/2014 2:49:00,40.7228,-73.9852,B02512
9/22/2014 3:05:00,40.9178,-74.3792,B02512
9/22/2014 3:05:00,40.7248,-73.9921,B02512
9/22/2014 3:07:00,40.7078,-74.0169,B02512
9/22/2014 3:07:00,40.971,-74.1175,B02512
9/22/2014 3:22:00,40.7336,-73.9761,B02512
9/22/2014 3:26:00,40.7079,-74.0151,B02512
9/22/2014 3:35:00,40.7646,-73.9772,B02512
9/22/2014 3:47:00,40.7403,-74.0358,B02512
9/22/2014 3:50:00,40.7194,-73.9901,B02512
9/22/2014 4:02:00,40.7614,-73.9991,B02512
9/22/2014 4:07:00,40.7515,-73.9802,B02512
9/22/2014 4:12:00,40.8184,-74.2681,B02512
9/22/2014 4:24:00,40.7329,-73.978,B02512
9/22/2014 4:31:00,40.8104,-74.1971,B02512
9/22/2014 4:36:00,40.7449,-73.9806,B02512
9/22/2014 4:36:00,40.7449,-73.9806,B02512
9/22/2014 4:39:00,40.6878,-74.182,B02512
9/22/2014 4:44:00,40.7487,-73.9424,B02512
9/22/2014 4:45:00,40.6415,-73.7889,B02512
9/22/2014 4:46:00,40.7604,-73.7898,B02512
9/22/2014 4:49:00,40.7612,-73.9974,B02512
9/22/2014 4:51:00,40.7529,-73.9752,B02512
9/22/2014 4:55:00,40.6868,-73.9903,B02512
9/22/2014 4:58:00,40.7483,-73.9903,B02512
9/22/2014 4:59:00,40.7508,-74.0244,B02512
9/22/2014 5:02:00,40.7596,-73.8761,B02512
9/22/2014 5:10:00,40.8317,-73.9198,B02512
9/22/2014 5:25:00,40.8615,-74.4126,B02512
9/22/2014 5:25:00,40.7148,-74.0359,B02512
9/22/2014 5:26:00,40.7094,-74.0178,B02512
9/22/2014 5:26:00,40.7737,-73.9661,B02512
9/22/2014 5:29:00,40.6949,-74.1778,B02512
9/22/2014 5:37:00,40.7574,-73.9842,B02512
9/22/2014 5:41:00,40.7213,-74.0015,B02512
9/22/2014 5:45:00,40.7339,-74.0051,B02512
9/22/2014 5:48:00,40.7311,-73.9792,B02512
9/22/2014 5:48:00,40.7116,-74.0157,B02512
9/22/2014 5:48:00,40.7116,-74.0157,B02512
9/22/2014 5:54:00,40.7574,-73.9857,B02512
9/22/2014 5:56:00,40.7789,-73.9827,B02512
9/22/2014 6:00:00,40.7632,-73.9851,B02512
9/22/2014 6:00:00,40.7453,-73.994,B02512
9/22/2014 6:01:00,40.7571,-73.9679,B02512
9/22/2014 6:01:00,40.6675,-73.6383,B02512
9/22/2014 6:01:00,40.7462,-73.9229,B02512
9/22/2014 6:01:00,40.7312,-74.0094,B02512
9/22/2014 6:03:00,40.7595,-73.9219,B02512
9/22/2014 6:04:00,40.6447,-73.7819,B02512
9/22/2014 6:04:00,40.7099,-73.8288,B02512
9/22/2014 6:06:00,40.7315,-74.0012,B02512
9/22/2014 6:06:00,40.7066,-74.0154,B02512
9/22/2014 6:08:00,40.6949,-74.178,B02512
9/22/2014 6:09:00,40.7885,-73.978,B02512
9/22/2014 6:09:00,40.6175,-74.1561,B02512
9/22/2014 6:11:00,40.7738,-73.9559,B02512
9/22/2014 6:12:00,40.7273,-74.0017,B02512
9/22/2014 6:13:00,40.7346,-74.0094,B02512
9/22/2014 6:15:00,40.7817,-73.9807,B02512
9/22/2014 6:16:00,40.7806,-73.9463,B02512
9/22/2014 6:16:00,40.7657,-73.9786,B02512
9/22/2014 6:16:00,40.7341,-73.9813,B02512
9/22/2014 6:19:00,40.7447,-73.985,B02512
9/22/2014 6:22:00,40.838,-73.9745,B02512
9/22/2014 6:23:00,40.7818,-73.9562,B02512
9/22/2014 6:24:00,40.7279,-73.9947,B02512
9/22/2014 6:25:00,40.7641,-73.9709,B02512
9/22/2014 6:28:00,40.7592,-73.9958,B02512
9/22/2014 6:29:00,40.752,-74.0019,B02512
9/22/2014 6:30:00,40.7756,-73.9784,B02512
9/22/2014 6:31:00,40.7235,-74.0005,B02512
9/22/2014 6:32:00,40.7708,-73.9477,B02512
9/22/2014 6:34:00,40.7952,-73.9653,B02512
9/22/2014 6:35:00,40.7429,-73.9965,B02512
9/22/2014 6:37:00,40.7388,-74.0088,B02512
9/22/2014 6:38:00,40.7254,-74.0092,B02512
9/22/2014 6:39:00,40.7759,-73.9587,B02512
9/22/2014 6:40:00,40.6463,-73.7898,B02512
9/22/2014 6:43:00,40.7413,-74.0014,B02512
9/22/2014 6:43:00,40.7718,-73.9613,B02512
9/22/2014 6:43:00,40.7833,-73.9568,B02512
9/22/2014 6:46:00,40.7781,-73.9629,B02512
9/22/2014 6:46:00,40.7456,-73.9757,B02512
9/22/2014 6:47:00,40.7593,-74.0234,B02512
9/22/2014 6:48:00,40.732,-73.9936,B02512
9/22/2014 6:50:00,40.783,-73.9558,B02512
9/22/2014 6:50:00,40.6882,-73.9596,B02512
9/22/2014 6:52:00,40.8325,-73.8175,B02512
9/22/2014 6:52:00,40.7679,-73.9659,B02512
9/22/2014 6:55:00,40.7535,-73.9843,B02512
9/22/2014 6:55:00,40.7231,-73.9826,B02512
9/22/2014 6:57:00,40.6741,-73.9652,B02512
9/22/2014 6:58:00,40.7739,-73.9562,B02512
9/22/2014 7:02:00,40.7328,-73.9797,B02512
9/22/2014 7:02:00,40.7328,-73.9797,B02512
9/22/2014 7:03:00,40.7602,-73.9951,B02512
9/22/2014 7:08:00,40.6447,-73.7822,B02512
9/22/2014 7:08:00,40.7433,-73.9924,B02512
9/22/2014 7:09:00,40.7295,-73.9805,B02512
9/22/2014 7:09:00,40.7413,-73.981,B02512
9/22/2014 7:11:00,40.7526,-73.9726,B02512
9/22/2014 7:12:00,40.7702,-73.9578,B02512
9/22/2014 7:13:00,40.787,-73.9719,B02512
9/22/2014 7:14:00,40.7366,-73.9946,B02512
9/22/2014 7:14:00,40.6913,-73.9926,B02512
9/22/2014 7:14:00,40.676,-73.9751,B02512
9/22/2014 7:16:00,40.7827,-73.9732,B02512
9/22/2014 7:21:00,40.7455,-74.0292,B02512
9/22/2014 7:22:00,40.7376,-74.0093,B02512
9/22/2014 7:23:00,40.6906,-73.9878,B02512
9/22/2014 7:23:00,40.7732,-73.9665,B02512
9/22/2014 7:24:00,40.7746,-73.9613,B02512
9/22/2014 7:28:00,40.6447,-73.7822,B02512
